p,q,r,time_median,time_mean,time_std,pqr,log_p,log_q,log_r,log_time,log_pqr
100,100,100,4.662497667595744e-05,6.092499243095517e-05,2.679565071865703e-05,1000000,4.605170185988092,4.605170185988092,4.605170185988092,-9.973374180247982,13.815510557964274
200,200,200,0.00020175002282485366,0.00021612481214106083,3.852960691708473e-05,8000000,5.298317366548036,5.298317366548036,5.298317366548036,-8.50848113767988,15.89495209964411
300,300,300,0.0005268329987302423,0.0005323833902366459,1.2669951024721622e-05,27000000,5.703782474656201,5.703782474656201,5.703782474656201,-7.54862695009825,17.111347423968603
400,400,400,0.0015223330119624734,0.0034260248066857457,0.002599386417456188,64000000,5.991464547107982,5.991464547107982,5.991464547107982,-6.487511244551541,17.974393641323946
500,500,500,0.003313500026706606,0.0037835832103155554,0.0009915904411677248,125000000,6.214608098422191,6.214608098422191,6.214608098422191,-5.709750238376054,18.643824295266576
750,750,750,0.009525667002890259,0.009664408396929502,0.0014874192323461467,421875000,6.620073206530356,6.620073206530356,6.620073206530356,-4.653765333870958,19.860219619591067
1000,1000,1000,0.016493875009473413,0.017081708193290978,0.0011690163445818025,1000000000,6.907755278982137,6.907755278982137,6.907755278982137,-4.10476617853873,20.72326583694641
1250,1250,1250,0.02916170802200213,0.029722566611599176,0.0014706365214470405,1953125000,7.1308988302963465,7.1308988302963465,7.1308988302963465,-3.5348987994143437,21.39269649088904
1500,1500,1500,0.05082154099363834,0.05144971640547737,0.0018206166320569156,3375000000,7.313220387090301,7.313220387090301,7.313220387090301,-2.979434978967424,21.939661161270905
100,500,500,0.0005760000203736126,0.0006743668112903833,0.0002402528683545976,25000000,4.605170185988092,6.214608098422191,6.214608098422191,-7.459402861897528,17.034386382832476
500,100,500,0.0006071249954402447,0.0006150083965621889,1.6430257012893847e-05,25000000,6.214608098422191,4.605170185988092,6.214608098422191,-7.406775864808772,17.034386382832476
500,500,100,0.0006596250459551811,0.001118500006850809,0.0009361823319766797,25000000,6.214608098422191,6.214608098422191,4.605170185988092,-7.323838996569798,17.034386382832476
200,500,500,0.001424750022124499,0.0013712250161916017,0.00037397235399822573,50000000,5.298317366548036,6.214608098422191,6.214608098422191,-6.553758903720476,17.72753356339242
500,200,500,0.001181416038889438,0.0016336997970938683,0.0006861658479523338,50000000,6.214608098422191,5.298317366548036,6.214608098422191,-6.741041527011433,17.72753356339242
500,500,200,0.0010768750216811895,0.0013665670179761947,0.0006660444549073645,50000000,6.214608098422191,6.214608098422191,5.298317366548036,-6.833691930548648,17.72753356339242
300,500,500,0.002743916993495077,0.0027839750051498412,0.001165408712151492,75000000,5.703782474656201,6.214608098422191,6.214608098422191,-5.898368819760054,18.132998671500584
500,300,500,0.0017542919958941638,0.001939833606593311,0.00045624925219074007,75000000,6.214608098422191,5.703782474656201,6.214608098422191,-6.345689924603436,18.132998671500584
500,500,300,0.0015937499701976776,0.0019260749919340014,0.0006322386061983565,75000000,6.214608098422191,6.214608098422191,5.703782474656201,-6.441665567757035,18.132998671500584
400,500,500,0.0027036250103265047,0.003157583600841463,0.001553377484879481,100000000,5.991464547107982,6.214608098422191,6.214608098422191,-5.913161810031305,18.420680743952367
500,400,500,0.0021197079913690686,0.0022242083912715318,0.0003392747711651529,100000000,6.214608098422191,5.991464547107982,6.214608098422191,-6.156476939705481,18.420680743952367
500,500,400,0.002043167012743652,0.0022658667992800476,0.0004658943242615021,100000000,6.214608098422191,6.214608098422191,5.991464547107982,-6.193254217714699,18.420680743952367
750,500,500,0.004971084010321647,0.0054637501947581765,0.0014149277728752294,187500000,6.620073206530356,6.214608098422191,6.214608098422191,-5.304117351927585,19.04928940337474
500,750,500,0.00381258298875764,0.0051960248034447435,0.0019708184949805987,187500000,6.214608098422191,6.620073206530356,6.214608098422191,-5.569448369742529,19.04928940337474
500,500,750,0.0036790829617530107,0.004084949975367636,0.0010610755341666403,187500000,6.214608098422191,6.214608098422191,6.620073206530356,-5.605091753031386,19.04928940337474
1000,500,500,0.005008333013392985,0.005946316802874207,0.002147261198706733,250000000,6.907755278982137,6.214608098422191,6.214608098422191,-5.296652151110578,19.33697147582652
500,1000,500,0.005494249984622002,0.006470800202805549,0.0018131023352343798,250000000,6.214608098422191,6.907755278982137,6.214608098422191,-5.20405319095688,19.33697147582652
500,500,1000,0.005235457967501134,0.006335158401634544,0.0019685796291725715,250000000,6.214608098422191,6.214608098422191,6.907755278982137,-5.252300956632822,19.33697147582652
1250,500,500,0.0062427500379271805,0.00785693321377039,0.002501747724264024,312500000,7.1308988302963465,6.214608098422191,6.214608098422191,-5.076334482479182,19.560115027140732
500,1250,500,0.0058408749755471945,0.006402366596739739,0.0014951483505970906,312500000,6.214608098422191,7.1308988302963465,6.214608098422191,-5.142874668784584,19.560115027140732
500,500,1250,0.006890417018439621,0.007459883391857147,0.0018499431718018732,312500000,6.214608098422191,6.214608098422191,7.1308988302963465,-4.977623670615485,19.560115027140732
1500,500,500,0.007939041999634355,0.008718083589337766,0.0020292468960262417,375000000,7.313220387090301,6.214608098422191,6.214608098422191,-4.835962665960378,19.742436583934683
500,1500,500,0.0076134169939905405,0.008217458392027765,0.001510986498439228,375000000,6.214608098422191,7.313220387090301,6.214608098422191,-4.877843194220027,19.742436583934683
500,500,1500,0.008823625044897199,0.009233083215076477,0.0025025873473110594,375000000,6.214608098422191,6.214608098422191,7.313220387090301,-4.73032249057915,19.742436583934683
